,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
241,다이나믹디자인,145210,2020-02-24,500,유상증자(제3자배정),기명식 보통,5800000,2900000000
242,두산에너빌리티,034020,2020-02-17,5401,유상증자(제3자배정),기명식 보통,44102845,238199465845
243,진원생명과학,011000,2020-02-04,1800,유상증자(구주주배정),기명식 보통,11000000,19800000000
244,STX중공업,071970,2020-01-31,200000,유상증자(제3자배정),기명식 보통,284245,56849000000
245,동부건설,005960,2020-01-29,5000,유상증자(제3자배정),기명식 보통,4263,21315000
246,삼부토건,001470,2020-01-28,1000,유상증자(제3자배정),기명식 보통,1406053,1406053000
247,대한해운,005880,2020-01-28,100000,유상증자(제3자배정),기명식 보통,605,60500000
248,SK렌터카,068400,2020-01-17,11932,유상증자(제3자배정),기명식 보통,13618840,162499998880
249,금호에이치티,214330,2020-01-13,5160,유상증자(제3자배정),기명식 보통,1937985,10000002600
250,쎌마테라퓨틱스,015540,2020-01-10,4880,유상증자(제3자배정),기명식 보통,1484423,7243984240
251,KH 필룩스,033180,2020-01-09,7100,유상증자(제3자배정),기명식 보통,1549296,11000001600
252,TYM,002900,2020-01-08,942,유상증자(제3자배정),기명식 보통,10615710,9999998820
