,기업공시코드,시장
1437,A100220,Y
1438,A100250,Y
1439,A100590,K
1440,A100660,K
1441,A100700,K
1442,A100790,K
1443,A100840,Y
1444,A101000,K
1445,A101140,Y
1446,A101160,K
1447,A101170,K
1448,A101240,K
1449,A101330,K
1450,A101360,K
1451,A101390,K
1452,A101400,K
1453,A101490,K
1454,A101530,Y
1455,A101670,K
1456,A101680,K
1457,A101730,K
1458,A101930,K
1459,A102120,K
1460,A102260,Y
1461,A102280,Y
1462,A102370,K
1463,A102460,Y
1464,A102710,K
1465,A102940,K
1466,A103140,Y
1467,A103230,K
1468,A103590,Y
1469,A103840,K
1470,A104040,K
1471,A104200,K
1472,A104460,K
1473,A104480,K
1474,A104540,K
1475,A104620,K
1476,A104700,Y
1477,A104830,K
1478,A105330,K
1479,A105550,K
1480,A105560,Y
1481,A105630,Y
1482,A105740,K
1483,A105840,Y
1484,A106080,K
1485,A106190,K
1486,A106240,K
1487,A106520,K
1488,A107590,Y
1489,A107600,K
1490,A108230,K
1491,A108320,Y
1492,A108380,K
1493,A108490,K
1494,A108670,Y
1495,A108860,K
1496,A109070,Y
1497,A109080,K
1498,A109610,K
1499,A109740,K
1500,A109820,K
1501,A109860,K
1502,A109960,K
1503,A110020,K
1504,A110790,K
1505,A110990,K
1506,A111110,Y
1507,A111710,K
1508,A111770,Y
1509,A111870,K
1510,A112040,K
1511,A112290,K
1512,A112610,Y
1513,A113810,K
1514,A114090,Y
1515,A114120,K
1516,A114190,K
1517,A114450,K
1518,A114630,K
1519,A114810,K
1520,A114840,K
1521,A115160,K
1522,A115180,K
1523,A115310,K
1524,A115390,Y
1525,A115440,K
1526,A115450,K
1527,A115480,K
1528,A115500,K
1529,A115530,K
1530,A115570,K
1531,A115610,K
1532,A115960,K
1533,A117580,Y
1534,A117670,K
1535,A117730,K
1536,A118000,Y
1537,A118990,K
1538,A119500,K
1539,A119610,K
1540,A119650,Y
1541,A119830,K
1542,A119850,K
1543,A119860,K
1544,A120030,Y
1545,A120110,Y
1546,A120240,K
1547,A121440,K
1548,A121600,K
1549,A121800,K
1550,A121850,K
1551,A121890,K
1552,A122310,K
1553,A122350,K
1554,A122450,K
1555,A122640,K
1556,A122690,K
1557,A122870,K
1558,A122900,Y
1559,A122990,K
1560,A123010,K
1561,A123040,K
1562,A123330,K
1563,A123410,K
1564,A123420,K
1565,A123570,K
1566,A123690,Y
1567,A123700,Y
1568,A123750,K
1569,A123840,K
1570,A123860,K
1571,A123890,Y
1572,A124500,K
1573,A124560,K
1574,A125210,K
1575,A126340,K
1576,A126560,Y
1577,A126600,K
1578,A126640,K
1579,A126700,K
1580,A126720,Y
1581,A126880,K
1582,A127120,K
